selection1_name,selection1_location,selection1_date,selection1_Category
Natural Rhythms,Ink Bar,Sat 20 May 10:00pm,Bar DJs
Kurfew Band,Parāoa Brewing Co.,Sat 20 May 8:30pm,"Covers, Tribute Bands"
Paint & Chill - Bob Ross Mountain & Lake!,Auckland City Hotel,Sat 20 May 3:00pm,"Socials, Singles, Balls"
VEDA Festival 2023,Chinmaya Mission Community Centre,Sat 20 May 2:00pm,Mind & Body
Art Collective Project with Artist Nicky Hartley,Shiloh Creative Life Centre,Sat 20 May 10:00am,Family & Lifestyle
NZ Motorcycle Show 2023,The Trusts Arena,Sat 20 May 9:30am,"Lifestyle Shows, Expos"
Sustainable Market,Sir Edmund Hillary Library Papakura,Sat 20 May 10:00am,Markets and Fairs
Devilskin - Let Me Breathe NZ Tour 2023,Powerstation,Sat 20 May 7:00pm,Rock
NZ Highwaymen,Pukekohe Town Hall,Sat 20 May 8:00pm,Country
ABBA Heaven! at The Howick Club,Howick Club,Sat 20 May 7:30pm,"Covers, Tribute Bands"
Pre~Loved Fashion & Thrift Market,Orewa Community Centre,Sat 20 May 9:30am,Markets and Fairs
Puppet Show: Box of Birds,Huia Lodge Discovery Hub,Sat 20 May 10:00am,"Children, Kids, Holidays"
Blues,Tiny Triumphs,Sat 20 May 8:00pm,Blues
Djs Vee & Corysco,Ponsonby Social Club,Sat 20 May 9:00pm,"Hip Hop, Rap"
Polymer Clay Jewellery | Workshop,UXBRIDGE Arts & Culture Centre,Sat 20 May 1:00pm,Markets and Fairs
Re:generate Fashion Market Botany,Sancta Maria College,Sat 20 May 10:00am,Markets and Fairs
Intro to Brush Lettering | Workshop,UXBRIDGE Arts & Culture Centre,Sat 20 May 9:00am,"Lifestyle Shows, Expos"
Linocut Printmaking | Workshop,UXBRIDGE Arts & Culture Centre,Sat 20 May 1:00pm,"Games, Hobbies"
Midwave Breaks NZ Tour 2023,Whammy Bar,Sat 20 May 8:00pm,"Alternative, Indie"
Bubble Soccer in the Park,Mountfort Park,Sat 20 May 2:30pm,"Games, Carnivals"
Balkan vs English Classics Music Night,Villa Dalmacija - Dalmatian Cultural Society,Sat 20 May 8:00pm,Bar DJs
Pukapuka Adventures,Aotea Centre,Sat 20 May 10:00am,"Children, Kids, Holidays"
Huge Pop & Rock Vinyl Record Sale,Albany Village Community Hall,Sat 20 May 9:00am,Markets and Fairs
Repair café Manurewa,Nathan Homestead - Manurewa Arts Centre,Sat 20 May 11:00am,"Conservation, Environment"
Egyptian Cooking Demo | Africa Month 2023,Ellen Melville Centre,Sat 20 May 11:00am,"Ethnic, Multicultural"
Home Design: Renovation 101 | Workshop,UXBRIDGE Arts & Culture Centre,Sat 20 May 9:30am,Family & Lifestyle
"The Actor’s Voice - 2-Day Advanced Workshop, Top Tutor, $65",Howick Little Theatre,Sat 20 May 10:00am,Business & Professional
Repair Cafe,Nathan Homestead - Manurewa Arts Centre,Sat 20 May 11:00am,Family & Lifestyle
Robinhood Stars vs MG Mystics,Pulman Arena,Sun 21 May 2:00pm,Netball
Music of the Month: Peter Baecker,Auckland Art Gallery Toi o Tāmaki,Sun 21 May 2:00pm,Festivals
Rocket Men - Elton John Tribute Band,The Elephant Wrestler,Sun 21 May 2:00pm,"Covers, Tribute Bands"
Rhapsody in Blue,St Matthew-in-the-City,Sun 21 May 2:30pm,Classical Music
MSO Family Concert,BNZ Theatre at Due Drop Events Centre,Sun 21 May 5:00pm,Classical Music
Colour Strategy,Kumeu Arts Centre,Sun 21 May 10:00am,Education
Wim Hof Method Workshop with Jason 'Psycho' Suttie,Elite Thai Kickboxing,Sun 21 May 10:00am,Mind & Body
Lymphatic Disorders Information Day,Cordis Auckland,Sun 21 May 12:30pm,Mind & Body
Kaukapakapa Village Market,Helensville Showgrounds,Sun 21 May 8:30am,Markets and Fairs
NZ Highwaymen,Wellsford Community Centre,Sun 21 May 2:30pm,Country
Gently Loved Markets Kumeu,Kumeu Community Hall,Sun 21 May 10:00am,Markets and Fairs
Handel's Messiah,All Saints Anglican Church,Sun 21 May 2:30pm,Music Festivals
A Documentary Film: The Phenomenon Bruno Groening,Warkworth Masonic Lodge,Sun 21 May 10:00am,Film
Auckland Paint and Wine Night - Piwakawaka in Flight,Longroom,Sun 21 May 2:00pm,"Food, Gourmet, Wine"
Live Music: Urban Drift,The Occidental Belgian Beer Café,Sun 21 May 2:00pm,"R&B, Soul"
Abba Dancing Queens Drag Lunch: Auckland,Karen's Diner,Sun 21 May 1:00pm,"Choir, Vocal Music"
Matuku Link Wetland Planting and Weeding,Matuku Link Reserve,Sun 21 May 10:00am,"Conservation, Environment"
Blockhouse Bay Antiques & Vintage Markets,Blockhouse Bay Community Centre,Sun 21 May 8:30am,Markets and Fairs
Auckland Dollmakers + Collectors Club,Auckland Horticultural Centre,Sun 21 May 1:30pm,Education
MG Mystics vs Trident Homes Tactix,Eventfinda Stadium,Mon 22 May 6:30pm,Netball
Understanding Your Brain - Silverdale/North Auckland,Silverdale Primary School,Mon 22 May 7:30pm,Public Talks & Tours
Emperor New Zealand 2023,Powerstation,Mon 22 May 8:00pm,Metal
Auckland Film Society – Pigs and Battleships,Academy Cinemas,Mon 22 May 6:15pm,Film
Emperor,Powerstation,Mon 22 May 8:00pm,Metal
Parenting Through Challenging Times - Kaipara College,Kaipara College,Mon 22 May 6:00pm,Family & Lifestyle
Ben Hurley (NZ) in 'A New Order',The Classic Comedy Club,Tue 23 May 8:30pm,Comedy
"Rudy-Lee Taurua (NZ) : ""Diverse""",The Classic Comedy Club - Studio,Tue 23 May 8:45pm,Comedy
Nick Rado (NZ) in 'Radology',The Classic Comedy Club,Tue 23 May 7:00pm,Comedy
Takashi Wakasugi (Jap) in 'Welcome to Japan',The Classic Comedy Club - Studio,Tue 23 May 7:15pm,Comedy
Improv Comedy at The Wine Cellar!,The Wine Cellar,Tue 23 May 7:30pm,Comedy
Auckland City Branch NZ Society of Genealogists meeting,Whare Wānanga,Tue 23 May 10:30am,Public Talks & Tours
Impressions,Pt Chevalier RSA,Tue 23 May 7:30pm,Jazz
Ray O'Leary | Auckland,Q Theatre,Tue 23 May 7:00pm,Comedy
"Parenting Through Challenging Times - Matua Ngaru, Huapai",Matua Ngaru School,Tue 23 May 6:30pm,Family & Lifestyle
Book-A-Family History Librarian,Central City Library,Tue 23 May 9:00am,Education
ONE CALL is all it takes,Te Oro,Wed 24 May 5:00pm,Theatre
Comedy Night At Talulah (May),Talulah,Wed 24 May 7:00pm,Comedy
A Bard's Tale,Covert Theatre,Wed 24 May 8:30pm,Theatre
Ferris Wheel,Covert Theatre,Wed 24 May 10:00pm,Theatre
Skits & Giggles,Covert Theatre,Wed 24 May 7:00pm,Theatre
Creative Jazz Club: Russ Spiegel (New York),Anthology Lounge,Wed 24 May 8:00pm,Jazz
Glow in the Dark Paint Party - Route 66,Saturdays Britomart,Wed 24 May 7:00pm,"Food, Gourmet, Wine"
Kintsugi: The Art of Broken Pieces | Workshop,UXBRIDGE Arts & Culture Centre,Wed 24 May 7:00pm,"Ethnic, Multicultural"
Guy Montgomery,Q Theatre,Wed 24 May 7:00pm,Comedy
Auckland Watercolour & Wine Night - Choose Your Owl Colour,The Oakroom,Wed 24 May 7:00pm,"Food, Gourmet, Wine"
The Thirst for the Worst - NZ International Comedy Festival,Q Theatre,Wed 24 May 9:15pm,Comedy
Tony Lyall - Killjoy (NZ International Comedy Festival),Q Theatre,Wed 24 May 9:30pm,Comedy
Resistance - Water Slows As It Rounds The Bend,Karanga Plaza,Wed 24 May 12:00am,Festivals
Resistance - Portrait of Fruit,Freyberg Square,Wed 24 May 12:00am,Festivals
Resistance - Forest Ruins,Karanga Plaza,Wed 24 May 12:00am,Festivals
Resistance - Tinaku,Freyberg Square,Wed 24 May 12:00am,Festivals
"Pink Ribbon Tea, Talks & Treatments",The Face Place,Thu 25 May 9:00am,"Charity, Fundraisers"
"'Weird, Dark & Scandalous' with Aimee, David, Scott & Joel",The Classic Comedy Club - Studio,Thu 25 May 10:00pm,Comedy
Tuku Taonga Graduation Celebration 2023,Ngā Kete Wānanga Marae,Thu 25 May 5:30pm,"Ethnic, Multicultural"
Casual First Date: An Improvised Comedy Show,"Tiny Theatre, Garnet Station",Thu 25 May 7:30pm,Comedy
Learn To Write Good with Bestselling Novelist Dominic Hoey,The Village NZ,Thu 25 May 6:30pm,Education
Iron Butterflies,Roxy,Thu 25 May 6:30pm,Film
Guy Montgomery,Q Theatre,Thu 25 May 7:00pm,Comedy
The Endangered Generation?,Roxy,Thu 25 May 7:30pm,Film
Who I Am Not,Roxy,Thu 25 May 8:30pm,Film
Ice Skate Tour,Mangatawhiri Hall,Thu 25 May 5:00pm,Skating
Black to the Future Zine Launch | Africa Month 2023,Ellen Melville Centre,Thu 25 May 9:00am,"Ethnic, Multicultural"
Beats By Bingo,The Portland Public House,Thu 25 May 8:00pm,"Games, Hobbies"
MOTAT Food Truck Round-UP,MOTAT (Museum of Transport & Technology),Thu 25 May 6:00pm,"Food, Gourmet, Wine"
Beats By Bingo,The Portland Public House,Thu 25 May 8:00pm,"Quiz, Karaoke"
Mixed Midweek Open,Maramarua Golf Club,Thu 25 May 9:30am,"Golf, Disc Golf"
Kinky Boots - The Musical,The Civic,Thu 25 May 7:30pm,Musicals
AYP Social & Networking Drinks,Coops Corner Pub,Thu 25 May 5:30pm,Business & Professional
Historic Auckland Waterfront Walking Tour,New Zealand Maritime Museum,Thu 25 May 10:00am,Public Talks & Tours
MIT 2023 Graduation Ceremony 1,Sir Woolf Fisher Arena Due Drop Events Centre,Fri 26 May 1:30pm,"Commemorations, Ceremonies"
Pasifika Thanksgiving Celebration 2023,Sir Woolf Fisher Arena Due Drop Events Centre,Fri 26 May 6:00pm,"Ethnic, Multicultural"
Kelvin Cruickshank Live,Hawkins Theatre,Fri 26 May 7:00pm,Family Entertainment
The Comedy Mixtape,Māngere Arts Centre - Ngā Tohu o Uenuku,Fri 26 May 7:30pm,Comedy
Sacred Being Touch & Tantra Winter Immersion,Bella Rakha Retreat Centre,Fri 26 May 3:00pm,Mind & Body
6 Week Reset Challenge,Hot Yoga Works Britomart,Sat 1 Apr 5:00pm,Mind & Body
Club Burlesque,Las Vegas Club,Fri 26 May 7:00pm,"Cabaret, Burlesque"
Dylan Moran - We Got This,Auckland Town Hall - Great Hall,Fri 26 May 8:00pm,Comedy
Sleaford Mods NZ Tour 2023,Powerstation,Fri 26 May 8:00pm,"Alternative, Indie"
Kita and Anita's Drag Wars,Phoenix Entertainment,Fri 26 May 7:00pm,Drag Performance
The Larry Normans single release party with guest DJ RockPig,Anthology Lounge,Fri 26 May 8:00pm,Rock
Guy Montgomery,Q Theatre,Fri 26 May 7:00pm,Comedy
Stetson Club - Midnite Special,Dairy Flat Community Hall,Fri 26 May 7:30pm,Country
Cups Night - May Carnival of Racing at Alexandra Park,Alexandra Park Raceway,Fri 26 May 5:30pm,Horse Racing
Djs Aimiee & Adam Fuhr,Ponsonby Social Club,Fri 26 May 9:00pm,"Hip Hop, Rap"
National Style Stakes at Alexandra Park,Alexandra Park Raceway,Fri 26 May 5:30pm,"Lifestyle Shows, Expos"
Sex with Sue,Roxy,Fri 26 May 6:00pm,Film
"Apolonia, Apolonia",Roxy,Fri 26 May 8:00pm,Film
Commercial Dance Class 15+ Beg-Adv. Open levels,Empire Studios,Fri 26 May 6:30pm,Dance
2022 Kuala Lumpur International Photoawards - North,Lake House Arts Centre,Fri 26 May 9:30am,Festivals
Hamilton,Spark Arena,Fri 26 May 7:30pm,Musicals
Memphis in May Festival,Morepork BBQ Restaurant,Sat 27 May 12:00pm,"Food, Gourmet, Wine"
MIT 2023 Graduation Ceremony 3,Sir Woolf Fisher Arena Due Drop Events Centre,Sat 27 May 2:00pm,"Commemorations, Ceremonies"
Next World Champion,Eventfinda Stadium,Sat 27 May 7:00pm,Boxing
Hello Sailor,Sawmill Cafe,Sat 27 May 8:00pm,Classic Rock
NZ's Eighth Annual Hot Sauce Festival,Sweat Shop Brew Kitchen,Sat 27 May 11:00am,"Food, Gourmet, Wine"
WBB JAZZ & BIG BAND PARTY,Parāoa Brewing Co.,Sat 27 May 5:30pm,Jazz
Gatsby Boat Party,The Red Boats,Sat 27 May 6:30pm,Bar DJs
Rhythms of the Brain: NZTrio with Simon Ingram,Auckland Art Gallery Toi o Tāmaki,Sat 27 May 7:00pm,Classical Music
Rocking at the Raaza,Glen Eden RSA,Sat 27 May 7:30pm,Rock
MIT 2023 Graduation Ceremony 2,Sir Woolf Fisher Arena Due Drop Events Centre,Sat 27 May 10:00am,"Commemorations, Ceremonies"
All About Rosie,Turanga Creek Organic Vineyard,Sat 27 May 2:00pm,"Covers, Tribute Bands"
Double Delusion - Award Winning Short Film!,Silky Otter Cinemas - Orakei Bay Village,Sat 27 May 5:00pm,Film
Fitness Speed Date,SPARTAFIT,Sat 27 May 11:00am,Fitness
Paint & Chill - Water Lilies & Koi!,Auckland City Hotel,Sat 27 May 3:00pm,"Socials, Singles, Balls"
Tiny Ruins - Ceremony Album Release Tour | Auckland,The Hollywood Avondale,Sat 27 May 7:00pm,"Alternative, Indie"
Re:generate Fashion Market Mount Albert,Mt Albert War Memorial Hall,Sat 27 May 10:00am,Markets and Fairs
Hoedown at the Ranch,Remuera Club,Sat 27 May 6:00pm,Country
Guy Montgomery,Q Theatre,Sat 27 May 7:00pm,Comedy
"Feta, Ricotta, Mascarpone & More! | Workshop",UXBRIDGE Arts & Culture Centre,Sat 27 May 2:00pm,"Food, Gourmet, Wine"
Acrylic Pouring | Workshop,UXBRIDGE Arts & Culture Centre,Sat 27 May 1:30pm,Markets and Fairs
Sleaford Mods NZ Tour 2023,Powerstation,Sat 27 May 8:00pm,"Alternative, Indie"
Djs Manuel Bundy & TDK,Ponsonby Social Club,Sat 27 May 9:00pm,"Hip Hop, Rap"
Finding Her Beat,Roxy,Sat 27 May 12:45pm,Film
A Story of Bones,Roxy,Sat 27 May 2:45pm,Film
Lyra,Roxy,Sat 27 May 4:45pm,Film
Make People Better,Roxy,Sat 27 May 6:45pm,Film
Wild Life,Roxy,Sat 27 May 8:30pm,Film
Auckland Domain Planting Day with Kaipātiki Project,Waipapa Stream,Sat 27 May 10:00am,"Conservation, Environment"
Huge Pop and Rock Vinyl Record Sale,Hibiscus Coast Community House,Sat 27 May 9:00am,Markets and Fairs
Recliner Rockers,The Occidental Belgian Beer Café,Sat 27 May 10:00pm,"Covers, Tribute Bands"
Crystal Visions Holistic Market,Pakuranga Community Hall,Sat 27 May 10:00am,Markets and Fairs
Mt Eden Wellbeing Market,Mt Eden Village Centre,Sat 27 May 10:00am,Markets and Fairs
Repair café New Lynn,New Lynn Community Centre,Sat 27 May 11:00am,"Conservation, Environment"
Make Modern Miniatures | Workshop,UXBRIDGE Arts & Culture Centre,Sat 27 May 9:30am,Family & Lifestyle
Impressionist Watercolours | Workshop,UXBRIDGE Arts & Culture Centre,Sat 27 May 10:00am,Education
Make a Botanical Face Cream Tailored to Your Skin | Workshop,UXBRIDGE Arts & Culture Centre,Sat 27 May 9:30am,Family & Lifestyle
Plant Based Living,Te Atatu Peninsula Library,Sat 27 May 11:00am,Public Talks & Tours
Chorus Connection,St George's Church,Sun 28 May 2:00pm,"Choir, Vocal Music"
VADER FEST 2023,Whammy Bar,Sun 28 May 7:00pm,Metal
Cashflow Property Bootcamp 2023,Sir Noel Robinson Conference Centre,Sun 28 May 9:00am,Business & Professional
General Collective Lifestyle & Design Market,Auckland Showgrounds,Sun 28 May 9:00am,Markets and Fairs
Four Hands Two Pianos One Big Band - Houstoun-Cunliffe-Fox,Bruce Mason Centre,Sun 28 May 2:30pm,Jazz
Last Laughs,SkyCity Theatre,Sun 28 May 7:00pm,Comedy
Eat Bitter,Roxy,Sun 28 May 12:15pm,Film
The Pawnshop,Roxy,Sun 28 May 6:45pm,Film
A Compassionate Spy,Roxy,Sun 28 May 8:30pm,Film
Sunday Sessions with Jaz Paterson,The Good Home Lincoln,Sun 28 May 2:00pm,"Covers, Tribute Bands"
Fascinating Fungi Workshop,Kaipara Coast Plants & Sculpture Gardens,Sun 28 May 9:30am,Public Talks & Tours
Guided Walk: Ecology,Huia Lodge Discovery Hub,Sun 28 May 10:00am,Public Talks & Tours
Guided Walk: Sir John's Footsteps,Huia Lodge Discovery Hub,Sun 28 May 10:00am,Public Talks & Tours
Jo Koy World Tour,The Trusts Arena,Mon 29 May 8:00pm,Comedy
Weyes Blood’s Holy Flux Tour: New Dawn | Auckland,Powerstation,Mon 29 May 7:00pm,"Alternative, Indie"
Strike Up The Band!,C3 Christian City Church,Mon 29 May 11:00am,Theatre
Auckland Film Society – Nightmare Alley,Academy Cinemas,Mon 29 May 6:15pm,Film
Taking Back Our Beach,Roxy,Mon 29 May 12:30pm,Film
2022 Kuala Lumpur International Photoawards - City,Ellen Melville Centre,Mon 29 May 9:00am,Festivals
Parenting Through Challenging Times - Waimauku,Waimauku School,Mon 29 May 6:00pm,Family & Lifestyle
Boardroom Bootcamp: Governance for Young People,Spaces - Commercial Bay Tower,Tue 30 May 5:30pm,Business & Professional
Strike Up The Band!,St Columba Presbyterian Church,Tue 30 May 11:00am,Theatre
Panacea,Pt Chevalier RSA,Tue 30 May 7:30pm,Jazz
Queer Short Film Night - Auckland,The Kingslander,Tue 30 May 7:00pm,Film
Creative Jazz Club: Blue Train Reunion,Anthology Lounge,Wed 31 May 8:00pm,Jazz
Amplifying Auckland: How Music Defines the City - Mark Roach,Whare Wānanga,Wed 31 May 12:00pm,Public Talks & Tours
Strike Up The Band!,Windsor Park Baptist Church,Wed 31 May 11:00am,Theatre
Auckland Paint and Wine Night - Rock Wren,Sweat Shop Brew Kitchen,Wed 31 May 7:00pm,"Food, Gourmet, Wine"
Così Fan Tutte,Kiri Te Kanawa Theatre - Aotea Centre,Wed 31 May 7:30pm,Opera
Precious Little - a Dark Comedy By Madeleine George,Howick Little Theatre,Wed 31 May 8:00pm,Theatre
Monty Mornings with LEGO®,Westfield Manukau City,Wed 31 May 10:00am,"Children, Kids, Holidays"
Auckland Festival of Photography,Silo Park,Wed 31 May 11:00am,Festivals
Fun Art Classes for Beginners - Hibiscus Coast,Red Beach Surf Lifesaving Club,Wed 31 May 9:30am,Education
Gin Palace - Winter Party,Bivacco,Thu 1 Jun 5:30pm,"Food, Gourmet, Wine"
The VIllage Mingle,The Village NZ,Thu 1 Jun 7:00pm,"Socials, Singles, Balls"
Wynyard Grill Jazz Night ft. Caro Manis and La Luna,Wynyard Grill,Thu 1 Jun 7:00pm,Jazz
Strike Up The Band!,Warkworth Town Hall,Thu 1 Jun 11:00am,Theatre
The Pink Floyd Experience,Bruce Mason Centre,Thu 1 Jun 8:00pm,Classic Rock
The L8 Show: 2023!,The Classic Comedy Club,Fri 2 Jun 10:00pm,Comedy
Joffa Album Showcase,Dead Witch,Fri 2 Jun 8:30pm,Metal
Keep Stepping,Roxy,Fri 2 Jun 10:00am,Film
Mackford,The Occidental Belgian Beer Café,Fri 2 Jun 10:00pm,"Covers, Tribute Bands"
RASNZ 2023 Conference,Waipuna Hotel & Conference Centre,Fri 2 Jun 7:00pm,Business & Professional
MELTDOWN | 15th Birthday | INTERSTELLAR Album Release Party,Parāoa Brewing Co.,Sat 3 Jun 12:00pm,Electronica
Auckland Tuatara v Manawatu Jets,Eventfinda Stadium,Sat 3 Jun 7:00pm,Basketball
The 2023 Raw Comedy Quest - Heats,The Classic Comedy Club,Sat 3 Jun 10:00pm,Comedy
"Laughs in the ""Burb's"" - Hobsonville Point - 3 June 2023",Sunderland Lounge,Sat 3 Jun 7:05pm,Comedy
10cc - The Ultimate Greatest Hits Tour,Bruce Mason Centre,Sat 3 Jun 8:00pm,Classic Rock
Under The Arcade Presents- Wine Cellar 19th Anniversary,The Wine Cellar,Sat 3 Jun 7:00pm,"Alternative, Indie"
Huge Pop & Rock Vinyl Record Sale,Warkworth Masonic Lodge,Sat 3 Jun 9:00am,"Games, Hobbies"
Live Music: After Six,The Occidental Belgian Beer Café,Sat 3 Jun 10:00pm,Jazz
A Day in Southeast Asia - Day Retreat,Bali Garden,Sat 3 Jun 10:30am,Mind & Body
Eco Art with Kaipātiki Project,Kaipatiki Project Environment Centre,Sat 3 Jun 9:30am,Family & Lifestyle
Warbirds on Parade 2023,NZ Warbirds Association,Sun 4 Jun 9:00am,Aviation
Free Bubble Soccer in the Park - Barry Curtis Park,Barry Curtis Park,Sun 4 Jun 2:30pm,"Games, Carnivals"
Fun Art Classes for Beginners - Hibiscus Coast,Red Beach Surf Lifesaving Club,Sun 4 Jun 1:30pm,Education
Bonus Screening 3,Roxy,Mon 5 Jun 3:30pm,Film
Mind Coaching: Developing A Champions Mindset,The Australasian Leadership Institute,Tue 6 Jun 10:00am,Business & Professional
Iceage (DEN) • Auckland,The Tuning Fork,Tue 6 Jun 7:00pm,Punk
Auckland Film Soc – B-Movie: Lust and Sound in West-Berlin,Academy Cinemas,Tue 6 Jun 6:15pm,Film
Introduction To Leadership: A Mark Wager Workshop,The Australasian Leadership Institute,Wed 7 Jun 10:00am,Business & Professional
Flying Saucers Beginner Pottery Class,Wood Fired Pottery School,Wed 7 Jun 6:15pm,Education
Leadership & Management Part 3,The Parnell Hotel & Conference Centre,Wed 7 Jun 8:30am,Business & Professional
Personal Development: Self Confidence & Assertiveness,The Australasian Leadership Institute,Thu 8 Jun 10:00am,Business & Professional
World Ocean Day Celebration,Sir Peter Blake Marine Education & Rec Centre,Thu 8 Jun 5:00pm,Public Talks & Tours
The Haka Party Incident,Te Pou Theatre,Thu 8 Jun 7:30pm,Theatre
Wynyard Grill Jazz Night ft. Soul Bossa Nova Duo,Wynyard Grill,Thu 8 Jun 7:00pm,Jazz
Aon Gold Medal Public Lecture,Viaduct Events Centre,Thu 8 Jun 4:00pm,Public Talks & Tours
'Allo 'Allo - Le Dinner Show,The Parnell Hotel & Conference Centre,Fri 9 Jun 7:00pm,Comedy
Yerin Baek,The Tuning Fork,Fri 9 Jun 7:00pm,Pop
Stetson Club - Brendon Ham Band,Dairy Flat Community Hall,Fri 9 Jun 7:30pm,Country
Auck/North - Simone Jackson Workshop - Tiritiri Matangi Is,Tiritiri Matangi Island,Sat 10 Jun 8:30am,Business & Professional
Come Together - Dire Straits' Making Movies,Kiri Te Kanawa Theatre - Aotea Centre,Sat 10 Jun 8:00pm,Rock
Nathan Homestead Creative Market,Nathan Homestead - Manurewa Arts Centre,Sat 10 Jun 10:00am,Markets and Fairs
Gently Loved Markets Greenhithe,Greenhithe Village Hall,Sat 10 Jun 10:00am,Markets and Fairs
Bubble Soccer in the Park - Owairaka Park,Owairaka Park,Sat 10 Jun 10:00am,"Games, Carnivals"
Granny Square Crochet | Workshop,UXBRIDGE Arts & Culture Centre,Sat 10 Jun 10:00am,Family & Lifestyle
Glass Fusing | Workshop,UXBRIDGE Arts & Culture Centre,Sat 10 Jun 9:00am,Family & Lifestyle
Textile Block Printing | Workshop,UXBRIDGE Arts & Culture Centre,Sat 10 Jun 9:30am,Family & Lifestyle
Auckland Tuatara v Franklin Bulls,Eventfinda Stadium,Sun 11 Jun 6:00pm,Basketball
Tablefox + Guests,Big Fan,Sun 11 Jun 4:00pm,Rock
Midwinter Christmas Concert,St Matthew-in-the-City,Sun 11 Jun 3:30pm,"Choir, Vocal Music"
Acting for Stage and Camera: Short Course for Adults,New Lynn Community Centre,Thu 16 Mar 6:30pm,Education
Chris Parker | Lots Of Love | Auckland Second Show,Kiri Te Kanawa Theatre - Aotea Centre,Sun 11 Jun 7:00pm,Comedy
Leys Orchestra Family Concert,Warkworth Town Hall,Sun 11 Jun 3:00pm,Classical Music
Crystal Visions Holistic Market,Titirangi War Memorial Hall,Sun 11 Jun 10:00am,Markets and Fairs
Negociants Fine Wine Tour 2023 - Auckland,Hilton Auckland Hotel,Mon 12 Jun 6:00pm,"Food, Gourmet, Wine"
Auckland Film Society – The Naked City,Academy Cinemas,Mon 12 Jun 6:15pm,Film
Leadership Skills: Building More Effective Teams,The Australasian Leadership Institute,Tue 13 Jun 10:00am,Business & Professional
King Lear,ASB Waterfront Theatre,Tue 13 Jun 7:00pm,Theatre
Researching Your House,Whare Wānanga,Wed 14 Jun 12:00pm,Public Talks & Tours
Figure and Form with London St Art Club,The Village NZ,Wed 14 Jun 6:30pm,Family & Lifestyle
From Broadway to West End,Centrestage Theatre,Wed 14 Jun 11:00am,Theatre
APO | The NZ Herald Premier Series: Simple Gifts,Auckland Town Hall - Great Hall,Thu 15 Jun 7:30pm,Classical Music
Auckland Uncanvased: Nude Life Drawing,The Bridgman,Thu 15 Jun 6:30pm,"Food, Gourmet, Wine"
NZ Careers Expo - Auckland,The Cloud,Thu 15 Jun 10:00am,"Lifestyle Shows, Expos"
Flashback to the 80s,Phoenix Cabaret,Fri 16 Jun 7:30pm,"Covers, Tribute Bands"
Back to the 80's Party,Remuera Club,Fri 16 Jun 6:30pm,Bar DJs
Dirty Work,Q Theatre,Fri 16 Jun 8:00pm,Theatre
Fight Night,Orewa Arts & Events Centre,Sat 17 Jun 5:00pm,Boxing
Auckland Tuatara v Southland Sharks,Eventfinda Stadium,Sat 17 Jun 7:00pm,Basketball
Disco Inferno - Auckland's Hottest Retro Dance Party!,Galatos,Sat 17 Jun 8:00pm,Bar DJs
Trentemøller | Auckland,Powerstation,Sat 17 Jun 7:00pm,Electronica
APO | Community Classics Central: Song & Dance,Auckland Town Hall - Great Hall,Sat 17 Jun 3:00pm,Classical Music
Chris Parker,Kiri Te Kanawa Theatre - Aotea Centre,Sat 17 Jun 7:00pm,Comedy
Platters that Matter | Workshop,UXBRIDGE Arts & Culture Centre,Sat 17 Jun 9:30am,Markets and Fairs
Solid Shampoo & Conditioner Bars | Workshop,UXBRIDGE Arts & Culture Centre,Sat 17 Jun 9:30am,"Lifestyle Shows, Expos"
The Vanns,The Tuning Fork,Sat 17 Jun 7:30pm,Rock
Woolfest Auckland Aftermath,Greenhithe Community Hall,Sat 17 Jun 9:30am,Education
Brahms' Piano Monument,St Matthew-in-the-City,Sun 18 Jun 2:30pm,Classical Music
AYO - Auckland Youth Orchestra - America!,Orewa Arts & Events Centre,Sun 18 Jun 5:30pm,Classical Music
Learn Tarot for Beginners,Te Atatu Peninsula Community Centre,Sun 18 Jun 10:30am,Public Talks & Tours
Ponsonby Central Winter Market,The Sapphire Room,Sun 18 Jun 10:00am,Markets and Fairs
Free Bubble Soccer in the Park - Lloyd Elsmore Park,Lloyd Elsmore Park,Sun 18 Jun 2:30pm,"Games, Carnivals"
Managing Yourself & Leading Others,The Australasian Leadership Institute,Mon 19 Jun 10:00am,Business & Professional
Auckland Film Society – Crash,Academy Cinemas,Mon 19 Jun 6:15pm,Film
Creative Talks: Emma Bishop Arts Practitioner and Broadcaste,The PumpHouse Theatre,Mon 19 Jun 7:00pm,Public Talks & Tours
Ice Skate Tour,Mairangi Bay Primary School,Tue 20 Jun 5:00pm,Skating
BuildNZ 2023,Auckland Showgrounds,Tue 20 Jun 10:00am,Business & Professional
Facilities Integrate 2023,Auckland Showgrounds,Tue 20 Jun 10:00am,Business & Professional
The National Safety Show 2023,Auckland Showgrounds,Tue 20 Jun 10:00am,Business & Professional
Drag Bingo! - with Anita Wigl'it,Parāoa Brewing Co.,Wed 21 Jun 7:00pm,Comedy
AYP Social & Networking Drinks,The Lula Inn,Wed 21 Jun 5:30pm,Business & Professional
Ladies Night,Gao Asian Fusion Restaurant,Thu 22 Jun 5:00pm,Pop
Hot HIIT Pilates Teacher Training,Hot Yoga Works Britomart,Fri 23 Jun 8:00am,Mind & Body
The Auckland South Home Show 2023,BNZ Theatre at Due Drop Events Centre,Fri 23 Jun 10:00am,"Lifestyle Shows, Expos"
